sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Jason ketemu karo wakil lan anggota komisi organisasi.,Wakil Komisi Jason ora bisa rawuh ing rapat kasebut.,Jason duwe rapat babagan desain program kerja.,Rapat dianakake online.,Jason ketemu karo wakil lan anggota komisi organisasi.,Mung Jason sing rawuh ing rapat kasebut.
Cekelan Jeje ing rel tangan sepur dumadakan diuculake.,Jeje meh tiba amarga kelangan imbangan.,"Nanging, Jeje kasil nyekel awake jejeg.",Tiba-tiba sepur mandheg njalari tangane Jeje ambruk.,Jeje langsung nyekel rel tangan maneh sadurunge sepur mlaku maneh.,Jeje langsung nggoleki petugas kanggo njaluk tulung.
Wetenge Reno lara banget.,Sore iki dheweke nglangi karo mbakyune.,"Nanging, sadurunge nglangi dheweke ora panas.",Wetenge uga ora diisi wiwit esuk.,Akibate wetenge Reno krasa lara.,Reno lara weteng amarga ngombe banyu kolam.
Gagang jedhing ing omahe Elisa rusak.,"Ora mung kuwi, kuncine rada teyeng.",Lawang dadi angel banget dibukak.,"Kadhangkala, kunci kasebut macet dadi arang digunakake.",Mula lawange arang dikunci lan luwih kerep diblokir nganggo watu.,Keluarga Elisa kudu mbangun jedhing anyar.
Minggu iki bakal ana bazar buku.,Panggonane ana ing alun-alun kutha.,Macem-macem jinis buku didol kanthi rega murah.,Sita lunga menyang pasar buku karo ibune.,Dheweke tuku akeh novel lan komik.,Sita ora seneng maca buku.
Wis seminggu Wiby lara watuk.,Tenggorokan Wiby krasa gatel.,Wiby wis saben dina ngombe obat.,"Nanging, Wiby ora noto panganane amarga isih kerep mangan gorengan.","Akibate, batuke Wiby ora mari.","Akibate, batuke Wiby saiki dibarengi pilek."
Gema pancen senengane nulis crita.,Dheweke entuk inspirasi saka macem-macem acara.,"Ora jarang, crita-crita kasebut inspirasi saka kedadeyan saben dina.",Dheweke pancen pengin dadi novelis terkenal.,"Mula, dheweke ora mandheg nulis crita.",Dheweke mbangun toko buku kanggo awake dhewe.
Haikal kuwi bocah sing gampang srawung.,Haikal pinter mecah suasana.,Nang endi wae Haikal mesthi rame.,"Haikal asring guyon, nanging dheweke ngerti watesan apa sing bisa dicekel lan sing ora bisa.",Mula Haikal disenengi kanca-kancane.,Mula Haikal disengiti.
Gian lagi lara.,Rambute Gian terus rontok.,Gian nindakake terapi.,Kondisi rambute Gian tambah parah.,Rambute Gian rontok amarga lara.,Gian ngelakoni terapi supaya rambute ora rontok.
Ezra apik ing poker.,"Ezra, Giran, lan Johan main kertu bebarengan.",Giran lan Johan wis kalah kaping pirang-pirang.,Ezra tansah gampang menang.,Giran lan Johan ora bisa ngalahake Ezra.,Johan bisa ngapusi Ezra lan dadi juara.
"“Seneng tenan kaya kowe,” kandhane nalika mbukak file foto ing laptopku.","""Nalika gedhe sampeyan uga bisa nindakake. Saiki mung seneng dolanan karo kanca-kanca,""wangsulanku.","“Aku ora duwe kanca,” jawabe santai sinambi ngerebut HP-ku.",Aku kaget krungu jawabane.,"“Oke, mengko kowe ketemu,” wangsulanku maneh sinambi ngelus-elus rambute.","""Celanamu uga apik ,ta?"" takonku."
Rezki pacaran karo wong gadis.,Dheweke ngerti bocah wadon kasebut saka platform media sosial.,Rezki ora tau ketemu karo bocah wadon kuwi.,Rezki nyoba ngilangake rasane.,Rezki ora gelem nresnani bocah wadon sing durung nate ditresnani.,Rezki meksa dheweke tetep tresna marang bocah wadon iku.
Gianna kepengin mulih kanggo dina Ibu.,Ibune Gianna kangen banget karo anake.,Karyane Gianna ora bisa ditindakake kaya ngono.,Gianna tetep mulih numpak sepur menyang kampung halamane.,Gianna nindakake kabeh pakaryan nalika ing sepur.,Gianna mbatalake rencana nemoni ibune.
Ezzah kepingin kaya gajah.,Gajah gedhe banget lan kuwat.,Ezzah kepengin dadi wong sing tangguh nglawan urip.,Ezzah ora pengin lemes.,Ezzah memotivasi awake dhewe dadi kuwat kaya gajah.,Ezzah nyimpen gajah ing kamare.
Laily kepengin dadi motivator.,Laily pengin menehi semangat kanggo wong liya.,Laily kepengin uripe migunani.,Laily seneng ngomong umum.,Laily nglatih awake dhewe dadi motivator.,Laily wedi ngomong ing umum.
"Kanggo mengeti ambal warsa sekolah, SMA Harapan nganakake lomba.",Lomba kapisan yaiku adu tarik tandhing antarane guru lan siswa.,Wakil saka saben kelas nyiapake kanggo nglawan wakil guru.,Kompetisi kasebut sengit.,Lomba iki dimenangake dening perwakilan siswa.,Lomba iki tambah bosen.
Valeeqa janji bakal teka.,Valeeqa ora bisa nepati janjine.,Valeeqa nindakake ziarah kuburan.,Valeeqa ndedonga kanggo wong sing tilar donya nglairake dheweke.,Valeeqa ziarah menyang dhaharan ibune.,Valeeqa tansah karo ibune.
Randu nduweni koleksi keyboard sing akeh.,Randu seneng barang sing lucu lan apik.,Randu nyimpen dhuwit kanggo tuku barang sing dikarepake.,Randu uga kerja paruh wektu kanggo entuk gaji saben wulan.,Randu seneng banget karo kabeh koleksi keyboard.,Randu ora bisa ngombe sing ditinggalake wong liya.
Jihan kudu nuduhake tikete.,Jihan bakal diturunake ing stasiun paling cedhak yen tiket ilang.,Kondektur sepur wis wiwit mubeng mriksani.,Jihan kasil golek tiket.,Jihan ora bakal diturunake sadurunge tekan stasiun tujuane.,Eka diusir saka sepur.
Heni marani Agung.,Agung nglukis malang.,Heni gumun karo lukisane Agung.,Heni nyawang Agung sing lagi nglukis.,Agung seneng karo Hani ngancani.,Heni lan Heni lagi masak ing pawon.
Freya lagi maca buku.,Ana akeh buku ing perpustakaan sekolah.,Freya seneng ana ing perpustakaan.,Freya ora ana ing kantin.,Freya ana ing perpustakaan sekolah.,Freya lagi mangan awan ing kelas.
"""Saiki masak opo mbak?""Omonge Nana marang ibu sing lagi rame ing pawon.","Saben mulih sekolah, ibu tansah nyawisake nedha awan kanggo Nana.","“Dina iki pitik bakar kesukaan nana,ayo cepet ganti klambi,” wangsulane ibu.",Nana cepet-cepet ganti klambi supaya bisa langsung bali menyang pawon.,"“Wis rampung bu,nana wis siap mangan masakane ibu,” kandhane nana nggawe ibune ngguyu amarga kelakuane.",Kamangka saiki Nana wis kelas 2 SMP.
Pandanganku bali maneh menyang udan ing njaba jendhela.,Wiwit cilik aku seneng nyawang udan.,Saben tetes kaya melodi sing ngajak aku dolanan.,Udan uga ngelingake kanca-kanca cilikku.,Aku tansah kangen dheweke sanajan aku ora ngerti maneh carane.,Bau udan sing teka saka lemah biasane diarani petrichor.
Airy arep menyang pasar malem.,Airy ora duwe dhuwit.,Airy njaluk dhuwit marang bapake.,Bapake Airy ora menehi dhuwit marang Airy.,Airy ora tuku apa-apa saka pasar malem.,Airy ora seneng menyang pasar malem.
Cheryl ora nganggo topeng.,Saben wong sing nindakake kegiatan ing njaba omah kudu nganggo topeng.,Polisi bakal tumindak tegas marang wong sing ora duwe topeng.,Cheryl kudu mbayar denda.,Polisi menehi tiket Cheryl amarga ora nganggo topeng.,Cheryl minangka perwira polisi.
Anis nyoba nyegah korupsi ing papan kerjane.,Anis ora pengin karyawane melu korupsi.,Anis bebas saka tuduhan korupsi.,KPK tau nggolèki kantore Anis.,KPK ora nemu dakwaan marang Anis lan kantore.,Anis koruptor gedhe.
Vinda digawe panas sup buntut saka afternoon iki kanggo ngawula minangka nedha bengi.,Sega putih lan peralatan mangan ditata rapi ing meja.,Ana uga jar kripik kanggo ngiringi sup buntut.,Bapak lan Ibu lungguh ing meja makan.,Dheweke langsung njupuk sega lan mangan kanthi lara pas disuguhake sup buntut.,"Dheweke langsung metu saka meja makan, sawise disuguhake sop buntut."
Reki nggawa roti 2 potong.,Jia ora nggawa bekal.,Jia weruh Raka lagi mangan awan.,Raka menehi roti marang Jia.,Jia matur nuwun Raka.,Jia menehi nedha awan marang Raka.
Atine Ika wis deg-degan ngenteni asil Ujian Nasional sing bakal metu sore iki.,Ika wis ora fokus maneh ngrungokake katrangan saka wali kelase Bu Ida.,Mripate Ika bolak-balik nyawang Bu Ida ing ngarepe lan jam tangan ing bangkekan kiwa.,Kanca-kancane Ika liyane akeh uga sing tumindak sumelang kaya Ika.,Bu Ida sing ngerti rasa kuwatir murid-muride mung bisa mesem ngerti.,Bu Ida sing ngerti rasa kuwatir murid-muride langsung niat nelpon kepala sekolah.
Sangu saben wulan Kori wis entek durung wayahe.,Kori mung tuku akeh barang ing toko online.,Kori arep dekorasi kamare.,Ibu-ibu bakal nesu yen dhuwit kanthong anak cepet entek.,Ibu ngejar Kori amarga boros.,Ibu tuku barang Kori ing toko online.
Rifani ketemu mantan pacare.,Ken kaget karo anane mantan pacare.,Rifani ngajak Ken ngobrol ing restoran.,Rifani crita karo Ken lan kosok balene.,Hubungane Rifani lan Ken tetep apik senajan asmara wis rampung.,Ken wis tau pacaran sadurunge.
Fio pengen banget dadi murid model.,Fio saingan karo siswa liyane.,Fio wis mesthi dikenal minangka murid sing manut banget marang guru.,Fio menehi upaya sing paling apik kanggo dadi mahasiswa model.,Fio tansah duwe motivasi kanggo dadi sing paling apik.,Fio luwih dikenal minangka murid sing nglanggar aturan.
Mbak Santi duwe hobi anyar nandur kembang.,Dheweke nandur mlathi lan mawar ing plataran ngarep omah.,Akeh wong sing seneng tanduran Santi.,Ora jarang wong mampir takon arep tuku kembange Santi.,Hobi Santi menehi tambahan penghasilan kanggo Santi.,Santi saiki lagi nandur pari ing kebon mburi.
Hiro duwe wadhuk banyu ing omahe.,Banyu ing omahe Hiro ora bisa urip.,Omahe Hiro ngalami pemadaman listrik.,Kulawargane Hiro isih bisa nggunakake banyu kaya biasane.,Wadhuk banyu ing omahe Hiro migunani banget kanggo kulawargane.,Hiro ora bisa adus utawa ngombé nalika lampu mati.
Jihad nonton pertunjukan sulap.,Jihad sinau trik sulap sadurunge.,Jihad penasaran lan pengin nyoba.,Jihad diundang ing panggung dening tukang sihir.,Jihad nindakake trik sing padha karo tukang sihir.,Jihad ora kasengsem ing trik sulap.
Kulite Nadia kobong.,Nadia kudu kerja ing srengenge panas.,Kulite Nadia wiwit ireng.,Nadia ora duwe pilihan liya.,Nadia iku pekerja keras.,Nadia ora tau gelem kerja.
Yohana weruh bayangane ing lemah.,Yohana wedi karo wewayangane.,Yohana ngeluh marang ibune yen ana sing nututi dheweke.,Ibu nerangake marang Yohana babagan kedadeyan wewayangan.,Yohana ngerti lan ora wedi maneh karo wewayangane.,Yohana disusul memedi.
Shana ngarep-arep yen nasibe ana ing sisihe.,Shana kepengin ketemu wong sing pancene tresnani.,Shana tansah ndedonga supaya padha ditakdiraké kanggo bebarengan.,Shana ketemu wong iki sawise 2 taun pisah.,Nasib ana ing sisih Shana.,Shana ora perduli maneh karo wong sing ditresnani.
"Wiwit cilik, Mamat nandhang asma.",Asma dheweke mumbul yen kena bledug utawa kumelun.,"Yen kena bledug utawa kumelun, dheweke bakal sesak ambegan.",Mula saben metu saka omah nganggo topeng.,Dheweke uga sregep ngresiki kamar supaya ora akeh bledug.,Dheweke tuku sapu kanggo mbusak bledug ing dalan.
Vida nempelake kertas ing tembok kelase.,Kertas kasebut ngemot pengumuman tanggal ngumpulake kertu laporan.,Vida uga mbagekake undhangan resmi marang wong tuwa.,Vida nyelehake undhangan loro ing saben meja ing kelas.,"Vida dikongkon wali kelase nglakokne kabeh iki pas kelas PE, mula kelase kosong.",Vida dijak wali kelase njaluk sumbangan marang kanca-kancane.
Rian wis kesel manggon ing omah kontrakan karo kanca-kancane.,Kanca-kancane padha males resik-resik omah.,Malah males resik-resik barang.,Nyewane dadi reged lan rame banget.,Rian ora betah manggon ing papan sing rame.,Omah sing rame mbukak kesempatan kerja kanggo wong liya.
Kris njaluk kesempatan kapindho marang Puput.,Kris janji ora bakal mbaleni kesalahan sing padha.,Puput ora percaya karo omongane Kris.,Puput milih ninggalake uripe Kris.,Puput ora bisa menehi kalodhangan kaping pindho marang wong kang gawe salah marang dheweke.,Puput menehi Kris kesempatan kaping lima.
Kei ora seneng film romantis.,"Miturut dheweke,akeh film romantis sing klise banget.",Alur critane uga alon banget.,Nonton film romantis nggawe dheweke ngantuk.,Dheweke luwih seneng film aksi tegang.,Luwih becik ngombe kopi lan teh nalika nonton bioskop.
Rian lan Rino kembar identik sing saling melengkapi.,Rian pinter banget ing mata pelajaran sains lan Rino ing mata pelajaran sosial.,"Sajrone tes saben dina, Rino lan Rian kerep pindhah panggonan kanggo entuk asil sing apik.",Dheweke ditemokake amarga nilai ujian bebarengan beda karo tes saben dina.,Wali-wali kelase dhewe-dhewe paring wejangan marang wong loro iku supaya ora nindakake maneh.,Wong tuwane bangga yen anake pinter.
Widya saiki wis duwe dhuwit.,Dheweke kepengin tuku laptop anyar.,Laptop lawase rusak.,Laptop asring ndadak mati ing tengah-tengahe Widya nindakake pakaryane.,Widya arep tuku laptop sawise kuliah.,Widya arep tuku laptop lan HP.
Tori lali nutup gorden jendela kamare.,Udane deres banget.,Tori weruh bledheg saka njaba jendela.,Tori panik lan langsung nutup jendela.,Tori wedi nalika weruh bledheg.,Kamare Tori ora ana jendhela.
Fanya luwih seneng mangan pitik.,Fanya ora seneng iwak.,Fanya tansah nyingkiri dhawuh mangan iwak.,Gibran meksa Fanya mangan iwak.,Fanya ora gelem meksa Gibran.,Fanya tansah mangan iwak saben dina.
Rizky nabuh suling hadiah saka kancane.,Rizky bisa sinau cathetan suling kanthi cepet.,Rizky nuduhake kancane sing lagi dolanan suling.,Kanca-kancane Rizky bangga karo kemampuane Rizky.,Kancane Rizky menehi hadiah sing pas marang Rizky.,Rizky dudu wong budheg.
Amy nantang Kara.,Kara bakal entuk hadiah yen dheweke kasil ngliwati tantangan kasebut.,Kara ora sabar ngenteni tantangan iki.,Amy nyetel tantangan gampang kanggo Kara.,Kara bisa ngliwati tantangan lan entuk hadiah.,Kara entuk hadiah saka Amy kaya ngono.
Kezia menyang supermarket.,Kezia arep tuku kebutuhan omah.,Kezia nggoleki dhompet ing tas.,Kezia metu saka supermarket kanthi tangan kosong.,Kezia lali ora nggawa dompete.,Kezia tindak nonton film.